"Date","CountyDistrict","ProvinceState","CountryRegion","Lat","Long","TotalConfirmed","TotalDeaths","NewConfirmed","NewDeaths","Deltaconfirmed","DeltaDeaths"
2020-02-01,"Tempe","Arizona","US",,,1,0,1,0,1,0
2020-02-01,"Los Angeles","California","US",,,1,0,1,0,1,0
2020-02-01,"Orange","California","US",,,1,0,1,0,1,0
2020-02-01,"Santa Clara","California","US",,,1,0,1,0,1,0
2020-02-01,"Chicago","Illinois","US",,,2,0,2,0,2,0
2020-02-01,"Boston","Massachusetts","US",,,1,0,1,0,1,0
2020-02-01,"Seattle","Washington","US",,,1,0,1,0,1,0
2020-02-02,"Tempe","Arizona","US",,,1,0,0,0,-1,0
2020-02-02,"Los Angeles","California","US",,,1,0,0,0,-1,0
2020-02-02,"Orange","California","US",,,1,0,0,0,-1,0
2020-02-02,"Santa Clara","California","US",,,1,0,0,0,-1,0
2020-02-02,"Chicago","Illinois","US",,,2,0,0,0,-2,0
2020-02-02,"Boston","Massachusetts","US",,,1,0,0,0,-1,0
2020-02-02,"Seattle","Washington","US",,,1,0,0,0,-1,0
2020-02-03,"Tempe","Arizona","US",,,1,0,0,0,0,0
2020-02-03,"Los Angeles","California","US",,,1,0,0,0,0,0
2020-02-03,"Orange","California","US",,,1,0,0,0,0,0
2020-02-03,"San Benito","California","US",,,2,0,2,0,2,0
2020-02-03,"Santa Clara","California","US",,,2,0,1,0,1,0
2020-02-03,"Chicago","Illinois","US",,,2,0,0,0,0,0
2020-02-03,"Boston","Massachusetts","US",,,1,0,0,0,0,0
2020-02-03,"Seattle","Washington","US",,,1,0,0,0,0,0
2020-02-04,"Tempe","Arizona","US",,,1,0,0,0,0,0
2020-02-04,"Los Angeles","California","US",,,1,0,0,0,0,0
2020-02-04,"Orange","California","US",,,1,0,0,0,0,0
2020-02-04,"San Benito","California","US",,,2,0,0,0,-2,0
2020-02-04,"Santa Clara","California","US",,,2,0,0,0,-1,0
2020-02-04,"Chicago","Illinois","US",,,2,0,0,0,0,0
