"Date","CountyDistrict","ProvinceState","CountryRegion","Lat","Long","TotalConfirmed","TotalDeaths","NewConfirmed","NewDeaths","Deltaconfirmed","DeltaDeaths"
2020-01-24,"","","China",,,555,26,110,8,109,7
2020-01-25,"","","China",,,778,42,223,16,113,8
2020-01-26,"","","China",,,1209,56,431,14,208,-2
2020-01-27,"","","China",,,1756,82,547,26,116,12
2020-01-28,"","","China",,,3985,131,2229,49,1682,23
2020-01-29,"","","China",,,4204,133,219,2,-2010,-47
2020-01-30,"","","China",,,5704,171,1500,38,1281,36
2020-01-31,"","","China",,,6802,213,1098,42,-402,4
2020-02-01,"","","Australia",,,12,0,12,0,12,0
2020-02-01,"","","Cambodia",,,1,0,1,0,1,0
2020-02-01,"","","Canada",,,4,0,4,0,4,0
2020-02-01,"","","China",,,11871,259,5069,46,3971,4
2020-02-01,"","","Finland",,,1,0,1,0,1,0
2020-02-01,"","","France",,,6,0,6,0,6,0
2020-02-01,"","","Germany",,,8,0,8,0,8,0
2020-02-01,"","","Hong Kong",,,13,0,13,0,13,0
2020-02-01,"","","India",,,1,0,1,0,1,0
2020-02-01,"","","Italy",,,2,0,2,0,2,0
2020-02-01,"","","Japan",,,20,0,20,0,20,0
2020-02-01,"","","Korea, South",,,12,0,12,0,12,0
2020-02-01,"","","Macau",,,7,0,7,0,7,0
2020-02-01,"","","Malaysia",,,8,0,8,0,8,0
2020-02-01,"","","Nepal",,,1,0,1,0,1,0
2020-02-01,"","","Philippines",,,1,0,1,0,1,0
2020-02-01,"","","Russia",,,2,0,2,0,2,0
2020-02-01,"","","Singapore",,,16,0,16,0,16,0
2020-02-01,"","","Spain",,,1,0,1,0,1,0
2020-02-01,"","","Sri Lanka",,,1,0,1,0,1,0
2020-02-01,"","","Sweden",,,1,0,1,0,1,0
2020-02-01,"","","Taiwan",,,10,0,10,0,10,0
2020-02-01,"","","Thailand",,,19,0,19,0,19,0
2020-02-01,"","","UK",,,2,0,2,0,2,0
2020-02-01,"","","United Arab Emirates",,,4,0,4,0,4,0
2020-02-01,"","","US",,,8,0,8,0,8,0
2020-02-01,"","","Vietnam",,,6,0,6,0,6,0
2020-02-02,"","","Australia",,,12,0,0,0,-12,0
2020-02-02,"","","Cambodia",,,1,0,0,0,-1,0
2020-02-02,"","","Canada",,,4,0,0,0,-4,0
2020-02-02,"","","China",,,16607,361,4736,102,-333,56
2020-02-02,"","","Finland",,,1,0,0,0,-1,0
2020-02-02,"","","France",,,6,0,0,0,-6,0
2020-02-02,"","","Germany",,,10,0,2,0,-6,0
2020-02-02,"","","Hong Kong",,,15,0,2,0,-11,0
2020-02-02,"","","India",,,2,0,1,0,0,0
2020-02-02,"","","Italy",,,2,0,0,0,-2,0
2020-02-02,"","","Japan",,,20,0,0,0,-20,0
2020-02-02,"","","Korea, South",,,15,0,3,0,-9,0
2020-02-02,"","","Macau",,,8,0,1,0,-6,0
2020-02-02,"","","Malaysia",,,8,0,0,0,-8,0
2020-02-02,"","","Nepal",,,1,0,0,0,-1,0
2020-02-02,"","","Philippines",,,2,1,1,1,0,1
2020-02-02,"","","Russia",,,2,0,0,0,-2,0
2020-02-02,"","","Singapore",,,18,0,2,0,-14,0
2020-02-02,"","","Spain",,,1,0,0,0,-1,0
2020-02-02,"","","Sri Lanka",,,1,0,0,0,-1,0
2020-02-02,"","","Sweden",,,1,0,0,0,-1,0
2020-02-02,"","","Taiwan",,,10,0,0,0,-10,0
2020-02-02,"","","Thailand",,,19,0,0,0,-19,0
2020-02-02,"","","UK",,,2,0,0,0,-2,0
