"timestamp","major","from_place","important_place","why","feel","worried","preferred_forum"
"2020/01/06 10:31:47 AM MST","Supply Chain","USA-South","USA-South","It's required for my major.","Apprehension","1","Learning Suite ""Digital Dialog"""
"2020/01/06 2:47:28 PM MST","Accounting","USA-South","USA-Utah","It's required for my major.;I'm interested in the subject.","Confidence","3","Learning Suite ""Digital Dialog"""
"2020/01/06 4:08:46 PM MST","Accounting","USA-West","Mexico","It's required for my major.;I'm interested in the subject.;It's a prerequisite for other classes I need to take.","Excitement;Confidence","4","Slack"
"2020/01/06 4:08:53 PM MST","Information Systems","USA-East","Europe","It's required for my major.","Confidence","5","Slack"
"2020/01/06 4:08:59 PM MST","Supply Chain","USA-South","Africa","It's required for my major.","Confidence","5","Anonymous Google Doc"
"2020/01/06 4:09:03 PM MST","Accounting","USA-East","Europe","It's required for my major.","Apprehension","2","Google Groups"
"2020/01/06 4:09:06 PM MST","Accounting","USA-West","USA-West","It's required for my major.;I'm interested in the subject.;It's a prerequisite for other classes I need to take.","Apprehension","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:09:07 PM MST","Accounting","USA-South","South America","It's required for my major.","Reluctance","2","Learning Suite ""Digital Dialog"""
"2020/01/06 4:09:07 PM MST","Marketing","USA-South","USA-West","It's required for my major.;It's a prerequisite for other classes I need to take.","Apprehension","4","Slack"
"2020/01/06 4:09:08 PM MST","Marketing","USA-Utah","USA-South","It's required for my major.","Apprehension","2","Anonymous Google Doc"
"2020/01/06 4:09:10 PM MST","Marketing","USA-Utah","Hogwarts","It's required for my major.","Anxiety","4","Slack"
"2020/01/06 4:09:13 PM MST","ACME","USA-West","USA-East","I'm interested in the subject.","Excitement;Apprehension","4","Anonymous Google Doc"
"2020/01/06 4:09:13 PM MST","Marketing","USA-Utah","Central America (not Mexico)","It's required for my major.;It's a prerequisite for other classes I need to take.","Anxiety","4","Slack"
"2020/01/06 4:09:14 PM MST","Marketing","USA-West","Europe","It's required for my major.","Apprehension;Anxiety;Dread","1","Google Groups"
"2020/01/06 4:09:15 PM MST","Management","USA-Utah","Oceania","It's required for my major.;I'm interested in the subject.;A friend or advisor recommended it.","Excitement;Apprehension","4","Anonymous Google Doc"
"2020/01/06 4:09:21 PM MST","Entrepreneurship","USA-South","USA-Utah","It's required for my major.","Reluctance;Dread","4","Anonymous Google Doc"
"2020/01/06 4:09:24 PM MST","Accounting","USA-South","Dagobah","It's required for my major.;I'm interested in the subject.;It's a prerequisite for other classes I need to take.","Excitement","5","Slack"
